"TrackId","CustomerId","InvoiceDate","BillingCity","BillingCountry","Total_Fra","Quantity","UnitPrice"
2,2,"2009-01-01 00:00:00",Stuttgart,Germany,1.98,1,0.99
4,2,"2009-01-01 00:00:00",Stuttgart,Germany,1.98,1,0.99
6,4,"2009-01-02 00:00:00",Oslo,Norway,3.96,1,0.99
8,4,"2009-01-02 00:00:00",Oslo,Norway,3.96,1,0.99
10,4,"2009-01-02 00:00:00",Oslo,Norway,3.96,1,0.99
12,4,"2009-01-02 00:00:00",Oslo,Norway,3.96,1,0.99
16,8,"2009-01-03 00:00:00",Brussels,Belgium,5.94,1,0.99
20,8,"2009-01-03 00:00:00",Brussels,Belgium,5.94,1,0.99
24,8,"2009-01-03 00:00:00",Brussels,Belgium,5.94,1,0.99
28,8,"2009-01-03 00:00:00",Brussels,Belgium,5.94,1,0.99
32,8,"2009-01-03 00:00:00",Brussels,Belgium,5.94,1,0.99
36,8,"2009-01-03 00:00:00",Brussels,Belgium,5.94,1,0.99
42,14,"2009-01-06 00:00:00",Edmonton,Canada,8.91,1,0.99
48,14,"2009-01-06 00:00:00",Edmonton,Canada,8.91,1,0.99
54,14,"2009-01-06 00:00:00",Edmonton,Canada,8.91,1,0.99
60,14,"2009-01-06 00:00:00",Edmonton,Canada,8.91,1,0.99
66,14,"2009-01-06 00:00:00",Edmonton,Canada,8.91,1,0.99
72,14,"2009-01-06 00:00:00",Edmonton,Canada,8.91,1,0.99
78,14,"2009-01-06 00:00:00",Edmonton,Canada,8.91,1,0.99
84,14,"2009-01-06 00:00:00",Edmonton,Canada,8.91,1,0.99
90,14,"2009-01-06 00:00:00",Edmonton,Canada,8.91,1,0.99
99,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
108,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
117,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
126,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
135,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
144,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
153,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
162,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
171,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
180,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
189,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
198,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
207,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
216,23,"2009-01-11 00:00:00",Boston,USA,13.86,1,0.99
230,37,"2009-01-19 00:00:00",Frankfurt,Germany,0.99,1,0.99
231,38,"2009-02-01 00:00:00",Berlin,Germany,1.98,1,0.99
232,38,"2009-02-01 00:00:00",Berlin,Germany,1.98,1,0.99
234,40,"2009-02-01 00:00:00",Paris,France,1.98,1,0.99
236,40,"2009-02-01 00:00:00",Paris,France,1.98,1,0.99
238,42,"2009-02-02 00:00:00",Bordeaux,France,3.96,1,0.99
240,42,"2009-02-02 00:00:00",Bordeaux,France,3.96,1,0.99
242,42,"2009-02-02 00:00:00",Bordeaux,France,3.96,1,0.99
244,42,"2009-02-02 00:00:00",Bordeaux,France,3.96,1,0.99
248,46,"2009-02-03 00:00:00",Dublin,Ireland,5.94,1,0.99
252,46,"2009-02-03 00:00:00",Dublin,Ireland,5.94,1,0.99
256,46,"2009-02-03 00:00:00",Dublin,Ireland,5.94,1,0.99
260,46,"2009-02-03 00:00:00",Dublin,Ireland,5.94,1,0.99
264,46,"2009-02-03 00:00:00",Dublin,Ireland,5.94,1,0.99
268,46,"2009-02-03 00:00:00",Dublin,Ireland,5.94,1,0.99
274,52,"2009-02-06 00:00:00",London,United Kingdom,8.91,1,0.99
280,52,"2009-02-06 00:00:00",London,United Kingdom,8.91,1,0.99
286,52,"2009-02-06 00:00:00",London,United Kingdom,8.91,1,0.99
292,52,"2009-02-06 00:00:00",London,United Kingdom,8.91,1,0.99
